ID	ORTHOGRAPHY	CELEX	TYPE	SOURCE_FORM	SOURCE_LANGUAGE	STRATUM	ATTESTED
7794	satt	z a t				1	8. Jh.
7795	Satte					?	18. Jh.
7796	Sattel 1					1	8. Jh.
7797	Sattel 2		1			?	8. Jh.
7798	sattelfest					1	18. Jh.
7799	Satyr	z aː t ʏ r	1	Satyrus	l	?	17. Jh.
7800	Satz	z a t͡s				1	10. Jh.
7801	Sau	z au				1	8. Jh.
7802	sauber	z au b ə r	1			1	9. Jh.
7803	Saubohne	z au b oː n ə				?	18. Jh.
7804	sauer	z auə r				1	8. Jh.
7805	Sauertopf					2	16. Jh.
7806	Saufeder					?	18. Jh.
7807	saufen	z au f ə n				1	9. Jh.
7808	saugen	z au ɡ ə n				1	8. Jh.
7809	säugen					1	8. Jh.
7810	Säule 1					1	8. Jh.
7811	Säule 2					?	10. Jh.
7812	Saum 1					1	9. Jh.
7813	Saum 2		1			?	11. Jh.
7814	säumen 2					1	9. Jh.
7815	Sauna	z au n aː	1	sauna.	finn	2	20. Jh.
7816	Saurach					?	15. Jh.
7817	Säure					1	9. Jh.
7818	Sauregurkenzeit					1	18. Jh.
7819	Saus	z au s				1	8. Jh.
7820	säuseln					1	17. Jh.
7821	sausen	z au z ə n				1	11. Jh.
7822	Sauser					?	18. Jh.
7823	Savanne	z a v a n ə	1	sabana	span	?	19. Jh.
7824	Schabbes		1			?	18. Jh.
7825	Schabe 1					2	10. Jh.
7826	Schabe 2					?	11. Jh.
7827	Schabe 3					?	18. Jh.
7828	schaben	ʃ aː b ə n				1	8. Jh.
7829	Schabernack	ʃ aː b ə r n a k				1	14. Jh.
7830	schäbig					1	13. Jh.
7831	Schablone	ʃ a b l oː n ə	1	schampelUn	mndd	2	18. Jh.
7832	Schabracke		1			?	17. Jh.
7833	Schach	ʃ a x	1			1	13. Jh.
7834	Schachen					?	11. Jh.
7835	Schächer					?	8. Jh.
7836	schachern	ʃ a x ə r n	1			1	17. Jh.
7837	Schacht	ʃ a x t				2	13. Jh.
7838	Schachtel	ʃ a x t ə l	1			1	15. Jh.
7839	Schachtelhalm					2	18. Jh.
7840	schächten		1			?	17. Jh.
7841	Schadchen		1			?	19. Jh.
7842	Schädel					1	13. Jh.
7843	Schaden	ʃ aː d ə n				1	8. Jh.
7844	Schaf	ʃ aː f				1	8. Jh.
7845	Schaff					?	12. Jh.
7846	schaffen	ʃ a f ə n				1	8. Jh.
7847	Schäffler					?	14. Jh.
7848	Schaffner	ʃ a f n ə r				1	13. Jh.
7849	Schafgarbe	ʃ aː f ɡ a r b ə				2	15. Jh.
7850	Schafkälte					?	19. Jh.
7851	Schafott	ʃ a f ɔ t	1	schavot	nndl	2	16. Jh.
7852	Schaft	ʃ a f t				1	8. Jh.
7853	-schaft					1	-
7854	Schah	ʃ aː	1	sah	pers	2	20. Jh.
7855	Schakal	ʃ a k aː l	1	chacal	frz	2	17. Jh.
7856	schäkern		1			1	18. Jh.
7857	schal					1	16. Jh.
7858	Schal	ʃ aː l	1	shawl	ne	1	19. Jh.
7859	Schale 1					1	9. Jh.
7860	Schale 2					1	9. Jh.
7861	Schälhengst					?	16. Jh.
7862	Schalk	ʃ a l k				1	8. Jh.
7863	Schall	ʃ a l				1	12. Jh.
7864	Schalmei	ʃ a l m ai	1			?	13. Jh.
7865	Schalotte	ʃ a l ɔ t ə	1	échalote	frz	?	18. Jh.
7866	schalten	ʃ a l t ə n				1	9. Jh., scalto 8. Jh.
7867	Schalter	ʃ a l t ə r				1	15. Jh.
7868	Schaltjahr	ʃ a l t j aː r				1	8. Jh.
7869	Schaluppe		1	chaloupe	frz	?	17. Jh.
7870	Scham	ʃ aː m				1	8. Jh.
7871	Schamott(e)		1			?	19. Jh.
7872	Schande	ʃ a n d ə				1	8. Jh.
7873	Schank 1					?	15. Jh.
7874	Schank 2					?	12. Jh.
7875	Schanker		1	chancre	frz	?	18. Jh.
7876	Schanze 1					2	15. Jh.
7877	Schanze 2		1	cheance	afrz	?	13. Jh.
7878	Schapp					?	19. Jh.
7879	Schappel		1	chapel	afrz	?	13. Jh.
7880	Schar 1					1	9. Jh.
7881	Scharade	ʃ a r aː d ə	1	charade	frz	2	18. Jh.
7882	Scharbe	ʃ a r b ə				?	10. Jh.
7883	Schäre		1			2	17. Jh.
7884	scharf	ʃ a r f				1	8. Jh.
7885	Scharfrichter	ʃ a r f r ɪ x t ə r				2	14. Jh.
7886	Scharlach	ʃ a r l a x	1	scarlatum	ml	2	12. Jh.
7887	Scharlatan	ʃ a r l a t a n	1	charlatan	frz	2	17. Jh.
7888	Scharmützel		1	scaramuccia	it	2	14. Jh.
7889	Scharnier	ʃ a r n iː r	1	charnière	frz	1	18. Jh.
7890	Schärpe		1			2	17. Jh.
7891	scharren	ʃ a r ə n				1	14. Jh.
7892	Scharte	ʃ a r t ə				1	13. Jh.
7893	Scharwenzel	ʃ a r v ɛ n t͡s ə l	1			?	17. Jh.
7894	Scharwerk					?	14. Jh.
7895	Schaschlik	ʃ a ʃ l ɪ k	1			2	20. Jh.
7896	schassen		1	chasser	frz	?	18. Jh.
7897	Schatten	ʃ a t ə n				1	8. Jh.
7898	Schatulle	ʃ a t ʊ l ə	1			2	17. Jh.
7899	Schatz	ʃ a t͡s				1	8. Jh.
7900	Schaub					?	11. Jh.
7901	Schaube		1			?	14. Jh.
7902	Schaubrot					?	16. Jh.
7903	schaudern	ʃ au d ə r n				1	16. Jh.
7904	schauen	ʃ auə n				1	8. Jh.
7905	Schauer 1					1	8. Jh.
7906	Schauer 2					?	11. Jh.
7907	Schauerleute		1	sjouwer(man)	nndl	?	17. Jh.
7908	Schaufel	ʃ au f ə l				1	8. Jh.
7909	Schaukel	ʃ au k ə l				1	17. Jh., älter schuckel, schocke u.ä.
7910	Schaum	ʃ au m				1	11. Jh.
7911	Schaute		1			?	16. Jh.
7912	Scheck	ʃ ɛ k	1	cheque	ne	1	19. Jh.
7913	scheckig	ʃ ɛ k ɪ x	1	eschiec	afrz	1	14. Jh., Form 19. Jh.
7914	scheel	ʃ eː l				1	16. Jh.
7915	Scheffel	ʃ ɛ f ə l				?	8. Jh.
7916	Scheibe 1					1	8. Jh.
7917	Scheibe 2					?	20. Jh.
7918	Scheibtruhe					?	17. Jh.
7919	Scheich	ʃ ai x	1			2	17. Jh.
7920	Scheide	ʃ ai d ə				2	9. Jh.
7921	scheiden	ʃ ai d ə n				1	8. Jh.
7922	scheinen	ʃ ai n ə n				1	8. Jh.
7923	scheißen					1	11. Jh.
7924	Scheit	ʃ ai t				2	12. Jh.
7925	Scheitel	ʃ ai t ə l				1	8. Jh.
7926	scheitern	ʃ ai t ə r n				1	16. Jh.
7927	Schelch					?	15. Jh.
7928	Schelf	ʃ ɛ l f	1	shelf	ne	?	20. Jh.
7929	Schelfe	ʃ ɛ l f ə				?	11. Jh.
7930	Schellack		1	schellak.	nndl	?	18. Jh.
7931	Schelle 1					2	11. Jh.
7932	Schelle 2					2	17. Jh.
7933	Schellfisch	ʃ ɛ l f ɪ ʃ				2	16. Jh.
7934	Schelm	ʃ ɛ l m				1	9. Jh.
7935	schelten	ʃ ɛ l t ə n				1	8. Jh.
7936	Schema	ʃ eː m aː	1	schEma	l	2	17. Jh.
7937	Schembart					?	13. Jh.
7938	Schemel	ʃ eː m ə l	1			1	9. Jh., runisch ksamella 5. Jh.
7939	Schemen	ʃ eː m ə n				?	11. Jh.
7940	-schen					2	-
7941	Schenkel	ʃ ɛ ŋ k ə l				1	10. Jh.
7942	schenken	ʃ ɛ ŋ k ə n				1	8. Jh.
7943	schepp					?	16. Jh.
7944	scheppern					2	18. Jh.
7945	Scherbe	ʃ ɛ r b ə				1	9. Jh.
7946	scherbeln	ʃ ɛ r b ə l n				?	20. Jh.
7947	Scherbengericht					2	19. Jh.
7948	Schere 1					1	9. Jh.
7949	scheren 1					1	8. Jh.
7950	scheren 2					1	15. Jh.
7951	Scherflein	ʃ ɛ r f l ai n				2	16. Jh.
7952	Scherge	ʃ ɛ r ɡ ə				?	8. Jh.
7953	Schermaus					?	8. Jh.
7954	Scherz 1					1	13. Jh.
7955	Scherz 2					?	17. Jh.
7956	scheu	ʃ ɔy				1	13. Jh.
7957	scheuchen	ʃ ɔy x ə n				1	8. Jh.
7958	Scheuer					2	9. Jh., latinisiert 8. Jh.
7959	scheuern	ʃ ɔyə r n				2	16. Jh.
7960	Scheuklappe	ʃ ɔy k l a p ə				2	16. Jh.
7961	Scheune	ʃ ɔy n ə				1	10. Jh.
7962	Scheusal	ʃ ɔy z aː l				1	15. Jh.
7963	scheußlich					1	13. Jh.
7964	Schi	ʃ iː	1	ski	nnorw	1	19. Jh.
7965	Schicht	ʃ ɪ x t				1	13. Jh.
7966	Schick 1		1			1	19. Jh.
7967	Schick 2					?	15. Jh.
7968	Schick 3		1	chique	frz	?	20. Jh.
7969	schicken	ʃ ɪ k ə n				1	11. Jh.
7970	schicker		1			?	19. Jh.
7971	Schicksal	ʃ ɪ k z aː l				1	16. Jh.
7972	Schickse		1			2	18. Jh.
7973	schieben	ʃ iː b ə n				1	9. Jh.
7974	Schieber	ʃ iː b ə r				1	19. Jh.
7975	schiech					?	13. Jh.
7976	Schiedsrichter	ʃ iː t͡s r ɪ x t ə r				1	16. Jh.
7977	schief	ʃ iː f				1	11. Jh.
7978	Schiefer	ʃ iː f ə r				1	11. Jh.
7979	schiegen					?	14. Jh.
7980	schielen	ʃ iː l ə n				1	11. Jh.
7981	Schienbein	ʃ iː n b ai n				1	12. Jh.
7982	Schiene	ʃ iː n ə				1	8. Jh.
7983	schier 1					1	8. Jh.
7984	schier 2					2	13. Jh.
7985	Schierling					2	9. Jh., Form 10. Jh.
7986	schießen					1	8. Jh.
7987	Schiet					2	14. Jh.
7988	Schiff	ʃ ɪ f				1	8. Jh.
7989	schiffen	ʃ ɪ f ə n				1	13. Jh., Bedeutung 18. Jh.
7990	schiffreich					?	13. Jh.
7991	Schikane	ʃ iː k aː n ə	1	chicane	frz	1	17. Jh.
7992	Schild	ʃ ɪ l t				1	8. Jh.
7993	Schilddrüse					2	18. Jh.
7994	schildern	ʃ ɪ l d ə r n				1	17. Jh.
7995	Schildpatt					2	18. Jh.
7996	Schildwache	ʃ ɪ l t v a x ə				2	13. Jh.
7997	Schilf	ʃ ɪ l f	1			1	10. Jh.
7998	schillern	ʃ ɪ l ə r n				1	15. Jh.
7999	Schilling	ʃ ɪ l ɪ ŋ				2	8. Jh.
8000	Schimäre		1	chimère	frz	?	15. Jh.
8001	Schimmel	ʃ ɪ m ə l				1	9. Jh.
8002	schimmern	ʃ ɪ m ə r n				1	15. Jh.
8003	Schimpanse	ʃ ɪ m p a n z ə	1			1	18. Jh.
8004	schimpfen	ʃ ɪ m p f ə n				1	9. Jh.
8005	Schindel	ʃ ɪ n d ə l	1	scindula	l	2	12. Jh.
8006	schinden	ʃ ɪ n d ə n				1	9. Jh.
8007	Schinken	ʃ ɪ ŋ k ə n				1	10. Jh.
8008	Schinn					?	17. Jh.
8009	Schippe	ʃ ɪ p ə				1	16. Jh.
8010	Schipper	ʃ ɪ p ə r				?	19. Jh.
8011	Schirm	ʃ ɪ r m				1	8. Jh.
8012	schirren	ʃ ɪ r ə n				2	17. Jh.
8013	Schiß					1	16. Jh.
8014	schlabbern	ʃ l a b ə r n				1	16. Jh.
8015	Schlacht	ʃ l a x t				1	9. Jh., Bedeutung 16. Jh.
8016	Schlachtenbummler					1	19. Jh.
8017	schlack	ʃ l a k				?	11. Jh.
8018	Schlack	ʃ l a k				?	19. Jh.
8019	Schlacke	ʃ l a k ə				2	14. Jh.
8020	schlackern 1					?	16. Jh.
8021	schlackern 2					1	20. Jh.
8022	Schläfe					1	15. Jh.
8023	schlafen	ʃ l aː f ə n				1	8. Jh.
8024	schlaff	ʃ l a f				1	8. Jh.
8025	Schlafittich					1	18. Jh.
8026	Schlagbaum	ʃ l aː k b au m				1	16. Jh.
8027	schlagen	ʃ l aː ɡ ə n				1	8. Jh.
8028	Schlager	ʃ l aː ɡ ə r				1	19. Jh.
8029	schlagfertig	ʃ l aː k f ɛ r t ɪ x				1	18. Jh.
8030	Schlagfluß					2	17. Jh.
8031	Schlagschatten					1	18. Jh.
8032	Schlagseite	ʃ l aː k z ai t ə				1	17. Jh.
8033	Schlagwort	ʃ l aː k v ɔ r t				1	18. Jh.
8034	Schlagzeile	ʃ l aː k t͡s ai l ə				1	19. Jh.
8035	Schlaks	ʃ l a k s				?	18. Jh.
8036	Schlamassel	ʃ l a m a s ə l				1	18. Jh.
8037	Schlamm	ʃ l a m				1	14. Jh.
8038	Schlamp	ʃ l a m p				?	16. Jh.
8039	Schlampe	ʃ l a m p ə				1	17. Jh.
8040	Schlange	ʃ l a ŋ ə				1	9. Jh.
8041	schlank	ʃ l a ŋ k				1	13. Jh.
8042	Schlankel					?	18. Jh.
8043	schlankweg	ʃ l a ŋ k v ɛ k				2	19. Jh.
8044	schlapp	ʃ l a p				1	16. Jh.
8045	Schlappen					?	17. Jh.
8046	Schlappschwanz	ʃ l a p ʃ v a n t͡s				1	17. Jh.
8047	Schlaraffe	ʃ l a r a f ə				2	14. Jh.
8048	schlau	ʃ l au				1	16. Jh.
8049	Schlaube					?	16. Jh.
8050	Schlauch	ʃ l au x				1	13. Jh.
8051	Schlaufe					2	12. Jh.
8052	schlecht	ʃ l ɛ x t				1	8. Jh.
8053	schlecken	ʃ l ɛ k ə n				1	15. Jh.
8054	Schlegel	ʃ l eː ɡ ə l				1	9. Jh.
8055	Schlehe	ʃ l eːə				2	9. Jh.
8056	schleichen	ʃ l ai x ə n				1	9. Jh., furislihhan 8. Jh.
8057	Schleie					?	11. Jh.
8058	Schleiereule	ʃ l aiə r ɔy l ə				2	16. Jh.
8059	Schleife	ʃ l ai f ə				1	16. Jh.
8060	schleifen 1					1	8. Jh.
8061	schleifen 2					1	11. Jh.
8062	Schleim	ʃ l ai m				1	13. Jh.
8063	schleißen					2	8. Jh.
8064	schlemmen	ʃ l ɛ m ə n				1	15. Jh.
8065	schlendern	ʃ l ɛ n d ə r n				1	17. Jh.
8066	schlenkern	ʃ l ɛ ŋ k ə r n				1	15. Jh.
8067	Schleppe	ʃ l ɛ p ə				1	17. Jh.
8068	schleppen	ʃ l ɛ p ə n				1	13. Jh.
8069	schletzen					?	18. Jh.
8070	Schleuder	ʃ l ɔy d ə r				1	15. Jh.
8071	schleudern 2					1	15. Jh.
8072	schleunig	ʃ l ɔy n ɪ x				1	14. Jh.
8073	Schleuse	ʃ l ɔy z ə	1			2	16. Jh.
8074	schlicht	ʃ l ɪ x t				1	17. Jh.
8075	Schlick	ʃ l ɪ k				?	17. Jh.
8076	Schlief	ʃ l iː f				?	17. Jh.
8077	schliefen					?	9. Jh., irsliofan 8. Jh.
8078	Schliere	ʃ l iː r ə				?	19. Jh.
8079	schließen					1	9. Jh.
8080	schlimm	ʃ l ɪ m				1	11. Jh.
8081	Schlinge	ʃ l ɪ ŋ ə				1	9. Jh.
8082	Schlingel	ʃ l ɪ ŋ ə l				1	15. Jh.
8083	schlingen 1					1	11. Jh.
8084	schlingen 2					2	8. Jh.
8085	schlingern	ʃ l ɪ ŋ ə r n				?	17. Jh.
8086	Schlipf					?	14. Jh.
8087	Schlippe					?	16. Jh.
8088	Schlips	ʃ l ɪ p s				1	19. Jh.
8089	Schlitten	ʃ l ɪ t ə n				1	9. Jh.
8090	schlittern	ʃ l ɪ t ə r n				2	18. Jh.
8091	Schlittschuh	ʃ l ɪ ʧ uː				1	17. Jh.
8092	Schlitz	ʃ l ɪ t͡s				1	9. Jh.
8093	Schlitzohr	ʃ l ɪ t͡s oː r				2	19. Jh.
8094	schlorren					?	17. Jh.
8095	Schloß					1	8. Jh.
8096	Schloße					2	13. Jh.
8097	Schlosser	ʃ l ɔ s ə r				2	13. Jh.
8098	Schlot	ʃ l oː t				?	12. Jh.
8099	Schlotter					?	18. Jh.
8100	schlottern	ʃ l ɔ t ə r n				1	13. Jh.
8101	schlotzen					?	16. Jh.
8102	Schlucht	ʃ l ʊ x t				1	16. Jh.
8103	schluchzen	ʃ l ʊ x t͡s ə n				1	15. Jh.
8104	schlucken	ʃ l ʊ k ə n				1	13. Jh., slucko 8. Jh.
8105	Schlucker	ʃ l ʊ k ə r				1	16. Jh.
8106	schlummern	ʃ l ʊ m ə r n				1	15. Jh.
8107	Schlund	ʃ l ʊ n t				2	8. Jh.
8108	schlunzen					?	19. Jh.
8109	schlüpfen					1	8. Jh.
8110	schlüpfrig					1	16. Jh.
8111	schlürfen					1	16. Jh.
8112	Schlüssel					1	8. Jh.
8113	Schlüsselbein					2	17. Jh.
8114	Schlüsselblume					1	15. Jh.
8115	Schmach	ʃ m aː x				1	9. Jh.
8116	schmachten	ʃ m a x t ə n				1	17. Jh.
8117	schmächtig					1	14. Jh.
8118	Schmackes					?	19. Jh.
8119	schmaddern					?	17. Jh.
8120	schmähen					1	10. Jh.
8121	schmal	ʃ m aː l				1	8. Jh.
8122	schmälen					?	14. Jh.
8123	Schmalz	ʃ m a l t͡s				1	9. Jh.
8124	Schmankerl					?	20. Jh.
8125	Schmant		1			?	15. Jh.
8126	schmarotzen	ʃ m a r ɔ t͡s ə n				1	15. Jh.
8127	Schmarre					?	16. Jh.
8128	Schmarren					?	16. Jh.
8129	schmatzen	ʃ m a t͡s ə n				1	14. Jh.
8130	schmauchen					?	17. Jh.
8131	Schmaus	ʃ m au s				1	16. Jh.
8132	schmecken	ʃ m ɛ k ə n				1	9. Jh.
8133	schmeicheln	ʃ m ai x ə l n				1	15. Jh.
8134	schmeißen					1	8. Jh.
8135	Schmeißfliege					?	16. Jh.
8136	schmelzen	ʃ m ɛ l t͡s ə n				1	8. Jh.
8137	Schmer					?	8. Jh.
8138	Schmerl					?	11. Jh.
8139	Schmerle	ʃ m ɛ r l ə				?	15. Jh.
8140	Schmerz	ʃ m ɛ r t͡s				1	9. Jh.
8141	Schmetten	ʃ m ɛ t ə n	1			?	17. Jh.
8142	Schmetterling	ʃ m ɛ t ə r l ɪ ŋ				1	16. Jh.
8143	schmettern	ʃ m ɛ t ə r n				1	14. Jh.
8144	Schmicke					?	15. Jh.
8145	Schmied	ʃ m iː t				1	8. Jh.
8146	Schmiege					?	14. Jh.
8147	schmiegen	ʃ m iː ɡ ə n				1	11. Jh.
8148	Schmiele					?	11. Jh.
8149	Schmiere 1		1			1	18. Jh.
8150	Schmiere 2					1	19. Jh.
8151	schmieren 1					1	8. Jh.
8152	schmieren 2					?	11. Jh.
8153	Schminke	ʃ m ɪ ŋ k ə				1	15. Jh., etwas älter smicke, ursprünglich «Brei, Salbe»; schmeicheln
8154	Schmirgel 1		1	smeriglio	it	2	16. Jh.
8155	Schmirgel 2					?	18. Jh.
8156	Schmiß					2	17. Jh.
8157	schmitzen 1					?	14. Jh.
8158	schmitzen 2					?	8. Jh.
8159	Schmöker					1	18. Jh.
8160	Schmolle					?	14. Jh.
8161	schmollen	ʃ m ɔ l ə n				1	13. Jh.
8162	Schmonzes			schmonze	wjidd	?	20. Jh.
8163	schmoren	ʃ m oː r ə n				1	17. Jh.
8164	schmorgen					?	19. Jh.
8165	Schmu					1	18. Jh.
8166	schmücken					1	13. Jh., Bedeutung 16. Jh.
8167	schmuddelig	ʃ m ʊ d ə l ɪ x				1	18. Jh.
8168	schmuggeln	ʃ m ʊ ɡ ə l n				1	18. Jh.
8169	schmunzeln	ʃ m ʊ n t͡s ə l n				1	15. Jh.
8170	schmurgeln					?	20. Jh.
8171	schmusen	ʃ m uː z ə n	1			1	18. Jh.
8172	Schmutz	ʃ m ʊ t͡s				1	15. Jh.
8173	Schnabel	ʃ n aː b ə l				1	9. Jh.
8174	Schnack					?	18. Jh.
8175	schnackeln					?	19. Jh.
8176	Schnaderhüpferl					?	19. Jh.
8177	Schnake 1					2	14. Jh.
8178	Schnake 2					?	16. Jh.
8179	Schnalle	ʃ n a l ə				1	14. Jh.
8180	schnalzen	ʃ n a l t͡s ə n				1	15. Jh.
8181	schnappen	ʃ n a p ə n				1	13. Jh.
8182	Schnapphahn					?	15. Jh.
8183	Schnappschuß					1	20. Jh.
8184	Schnaps	ʃ n a p s				1	18. Jh.
8185	schnarchen	ʃ n a r x ə n				1	12. Jh.
8186	schnarren					1	14. Jh.
8187	Schnat(e) 1					?	18. Jh.
8188	Schnat(e) 2					?	16. Jh.
8189	Schnatte					?	15. Jh.
8190	schnattern	ʃ n a t ə r n				1	14. Jh.
8191	schnatzen					?	14. Jh.
8192	schnauben	ʃ n au b ə n				1	14. Jh.
8193	schnäubig					?	19. Jh.
8194	schnaufen	ʃ n au f ə n				1	16. Jh.
8195	Schnauze	ʃ n au t͡s ə				1	16. Jh.
8196	Schnecke	ʃ n ɛ k ə				1	9. Jh.
8197	Schneckerl					?	20. Jh.
8198	Schnee	ʃ n eː				1	8. Jh.
8199	Schneegans	ʃ n eː ɡ a n s				2	15. Jh.
8200	Schneekönig					?	16. Jh.
8201	Schneid					?	18. Jh.
8202	schneiden	ʃ n ai d ə n				1	8. Jh.
8203	Schneider	ʃ n ai d ə r				1	13. Jh.
8204	Schneidersitz	ʃ n ai d ə r z ɪ t͡s				1	20. Jh.
8205	Schneidezähne					1	16. Jh.
8206	schneidig					1	13. Jh.
8207	schneien	ʃ n aiə n				1	11. Jh.
8208	Schneise	ʃ n ai z ə				2	14. Jh.
8209	schneiteln					?	15. Jh.
8210	schnell	ʃ n ɛ l				1	8. Jh.
8211	Schnelle	ʃ n ɛ l ə				2	9. Jh., Bedeutung 19. Jh.
8212	schnellen	ʃ n ɛ l ə n				1	9. Jh.
8213	Schnepfe	ʃ n ɛ p f ə				2	9. Jh.
8214	Schneppe	ʃ n ɛ p ə				?	17. Jh.
8215	schnetzeln					?	20. Jh.
8216	schneuzen					1	10. Jh.
8217	Schnickschnack					1	18. Jh.
8218	schniefen					?	17. Jh.
8219	schniegeln					2	17. Jh.
8220	schnieke					?	20. Jh.
8221	Schniepel					?	19. Jh.
8222	schnipfeln					?	20. Jh.
8223	Schnippchen					1	17. Jh.
8224	schnippeln					2	17. Jh.
8225	schnippisch					1	16. Jh.
8226	schnittig					1	19. Jh.
8227	Schnittlauch	ʃ n ɪ t l au x				1	10. Jh.
8228	Schnitz					1	14. Jh.
8229	schnitzen	ʃ n ɪ t͡s ə n				1	11. Jh.
8230	Schnitzer	ʃ n ɪ ʦ ə r				1	17. Jh.
8231	schnobern					?	18. Jh.
8232	Schnodder	ʃ n ɔ d ə r				?	16. Jh.
8233	schnöde					1	13. Jh.
8234	schnökern					?	18. Jh.
8235	Schnorchel	ʃ n ɔ r x ə l				?	20. Jh.
8236	Schnörkel					1	16. Jh.
8237	schnorren					1	18. Jh.
8238	Schnösel					?	19. Jh.
8239	schnüffeln					1	17. Jh.
8240	Schnuller					1	18. Jh.
8241	Schnulze	ʃ n ʊ l t͡s ə				1	20. Jh.
8242	schnupfen	ʃ n ʊ p f ə n				2	14. Jh.
8243	Schnupfen	ʃ n ʊ p f ə n				1	15. Jh.
8244	schnuppe					1	19. Jh.
8245	Schnuppe	ʃ n ʊ p ə				?	15. Jh.
8246	schnuppern	ʃ n ʊ p ə r n				1	17. Jh.
8247	Schnur 1					1	11. Jh.
8248	Schnur 2					?	8. Jh.
8249	schnüren					1	11. Jh.
8250	Schnurrbart	ʃ n ʊ r b aː r t				1	18. Jh.
8251	Schnurre	ʃ n ʊ r ə				?	16. Jh.
8252	schnurren	ʃ n ʊ r ə n				1	13. Jh.
8253	schnurstracks	ʃ n uː r ʃ t r a k s				2	16. Jh.
8254	schnurz(egal)					2	19. Jh.
8255	Schnute					2	18. Jh.
8256	Schober					?	14. Jh.
8257	Schock 1					?	13. Jh.
8258	Schock 2		1			1	18. Jh.
8259	schofel		1			2	18. Jh.
8260	Schöffe					2	8. Jh.
8261	Schokolade	ʃ oː k oː l aː d ə	1	chocolade	nndl	1	17. Jh.
8262	Scholle 1					2	9. Jh.
8263	Scholle 2					2	16. Jh.
8264	Scholli		1			1	19. Jh.
8265	schon	ʃ oː n				1	9. Jh.
8266	schön					1	8. Jh.
8267	schonen	ʃ oː n ə n				1	8. Jh.
8268	Schoner 2		1	schooner	nndl	?	18. Jh.
8269	Schopf	ʃ ɔ p f				1	13. Jh.
8270	schöpfen					1	8. Jh., «Wasser schöpfen»
8271	schoppen	ʃ ɔ p ə n				?	13. Jh.
8272	Schoppen	ʃ ɔ p ə n	1			?	16. Jh.
8273	Schöps		1			?	14. Jh.
8274	Schorf	ʃ ɔ r f				1	12. Jh.
8275	Schornstein	ʃ ɔ r n ʃ t ai n				2	13. Jh.
8276	Schoß 1					1	8. Jh.
8277	Schoß 2					?	10. Jh.
8278	Schoß 3					2	14. Jh.
8279	Schote 1					1	11. Jh.
8280	Schot(e) 2					?	18. Jh.
8281	Schott					?	18. Jh.
8282	Schotte	ʃ ɔ t ə	1	(oder	l	?	10. Jh.
8283	Schotter	ʃ ɔ t ə r				2	19. Jh.
8284	schräg					1	16. Jh.
8285	Schramme	ʃ r a m ə				1	14. Jh.
8286	Schrank	ʃ r a ŋ k				2	9. Jh.
8287	Schranke	ʃ r a ŋ k ə				1	14. Jh.
8288	schränken					1	14. Jh.
8289	Schranne					?	9. Jh.
8290	Schranz					?	13. Jh.
8291	schrappen					?	14. Jh.
8292	Schrat					?	9. Jh.
8293	Schraube	ʃ r au b ə	1	escrou	afrz	1	14. Jh.
8294	schrecken	ʃ r ɛ k ə n				1	9. Jh.
8295	schreiben	ʃ r ai b ə n	1			1	8. Jh.
8296	schreien	ʃ r aiə n				1	9. Jh., duruhscrian 8. Jh.
8297	Schrein	ʃ r ai n	1			2	9. Jh.
8298	schreiten	ʃ r ai t ə n				1	9. Jh., biscritan 8. Jh.
8299	Schriftsteller	ʃ r ɪ f ʧ t ɛ l ə r				1	16. Jh.
8300	schrill	ʃ r ɪ l				1	19. Jh.
8301	Schrippe					?	18. Jh.
8302	Schrittmacher					?	19. Jh.
8303	schroff	ʃ r ɔ f				1	16. Jh.
8304	schröpfen					2	15. Jh.
8305	Schrot	ʃ r oː t				2	11. Jh.
8306	Schrott	ʃ r ɔ t				1	20. Jh.
8307	schrubben	ʃ r ʊ b ə n				2	17. Jh.
8308	Schrulle	ʃ r ʊ l ə				2	18. Jh.
8309	schrumpfen	ʃ r ʊ m p f ə n				1	17. Jh.
8310	Schrunde	ʃ r ʊ n d ə				?	11. Jh.
8311	Schubs	ʃ ʊ p s				2	15. Jh.
8312	schüchtern					1	16. Jh.
8313	Schuft	ʃ ʊ f t				1	17. Jh.
8314	schuften	ʃ ʊ f t ə n				1	19. Jh.
8315	Schuh	ʃ uː				1	9. Jh.
8316	Schuko					?	20. Jh.
8317	schuld					1	15. Jh.
8318	Schuld	ʃ ʊ l t				1	8. Jh.
8319	Schule	ʃ uː l ə	1			1	9. Jh.
8320	Schulter	ʃ ʊ l t ə r				1	8. Jh.
8321	Schultheiß					2	8. Jh.
8322	Schummer					?	18. Jh.
8323	Schund	ʃ ʊ n t				1	16. Jh., Bedeutung 18. Jh.
8324	schunkeln	ʃ ʊ ŋ k ə l n				2	18. Jh.
8325	Schuppe	ʃ ʊ p ə				1	10. Jh.
8326	Schuppen	ʃ ʊ p ə n				2	16. Jh.
8327	Schur					2	14. Jh.
8328	schüren					1	11. Jh.
8329	schürfen					1	9. Jh.
8330	schurigeln					?	17. Jh.
8331	Schurke	ʃ ʊ r k ə				1	15. Jh.
8332	Schurz	ʃ ʊ r t͡s				1	14. Jh.
8333	Schüssel		1			1	9. Jh.
8334	schusseln					2	19. Jh.
8335	Schute					?	13. Jh.
8336	Schutt	ʃ ʊ t				1	15. Jh.
8337	schütteln					1	11. Jh.
8338	schütten					1	8. Jh.
